date,symbol,market_cap
2011-03-31,TVSMOTOR,
2011-03-31,BIOCON,
2011-03-31,ESCORTS,
2011-03-31,CCL,
2011-03-31,NHPC,
2011-03-31,MAHABANK,
2011-03-31,RECLTD,
2011-03-31,SUZLON,
2011-03-31,TRIDENT,
2011-03-31,ABREL,
2011-03-31,COFORGE,
2011-03-31,LUPIN,
2011-03-31,GABRIEL,
2011-03-31,PVRINOX,
2011-03-31,IOC,
2011-03-31,CYIENT,
2011-03-31,BALKRISIND,
2011-03-31,TCS,
2011-03-31,UPL,
2011-03-31,UNIONBANK,
2011-03-31,HINDZINC,
2011-03-31,EMAMILTD,
2011-03-31,CGPOWER,
2011-03-31,ICICIBANK,
2011-03-31,BSOFT,
2011-03-31,ADANIENT,
2011-03-31,DIVISLAB,
2011-03-31,CANFINHOME,
2011-03-31,MMTC,
2011-03-31,JINDALSTEL,
2011-03-31,ITI,
2011-03-31,MPHASIS,
2011-03-31,BPCL,
2011-03-31,SCI,
2011-03-31,SAIL,
2011-03-31,IDBI,
2011-03-31,AJANTPHARM,
2011-03-31,NAVA,
2011-03-31,LTFOODS,
2011-03-31,DEEPAKFERT,
2011-03-31,HDFCBANK,
2011-03-31,SONATSOFTW,
2011-03-31,KEI,
2011-03-31,ZEEL,
2011-03-31,RADICO,
2011-03-31,BANKBARODA,
2011-03-31,ELECON,
2011-03-31,BHEL,
2011-03-31,BEL,
2011-03-31,MFSL,
2011-03-31,IIFL,
2011-03-31,GAIL,
2011-03-31,OIL,
2011-03-31,DRREDDY,
2011-03-31,RPOWER,
2011-03-31,JUBLFOOD,
2011-03-31,CEMPRO,
2011-03-31,PFC,
2011-03-31,SUNTV,
2011-03-31,OBEROIRLTY,
2011-03-31,JKTYRE,
2011-03-31,GODREJPROP,
2011-03-31,ASIANPAINT,
2011-03-31,M&MFIN,
2011-03-31,TORNTPHARM,
2011-03-31,J&KBANK,
2011-03-31,CHENNPETRO,
2011-03-31,ITC,
2011-03-31,HINDUNILVR,
2011-03-31,CONCOR,
2011-03-31,VOLTAS,
2011-03-31,JMFINANCIL,
2011-03-31,GODREJCP,
2011-03-31,BEML,
2011-03-31,TATAELXSI,
2011-03-31,DLF,
2011-03-31,YESBANK,
2011-03-31,IFCI,
2011-03-31,RAMCOCEM,
2011-03-31,NTPC,
2011-03-31,BAJFINANCE,
2011-03-31,AXISBANK,
2011-03-31,MOTHERSON,
2011-03-31,RELIANCE,
2011-03-31,KAJARIACER,
2011-03-31,CESC,
2011-03-31,BALRAMCHIN,
2011-03-31,PHOENIXLTD,
2011-03-31,AMBUJACEM,
2011-03-31,APOLLOTYRE,
2011-03-31,FEDERALBNK,
2011-04-30,TORNTPHARM,
2011-04-30,ABREL,
2011-04-30,KOTAKBANK,
2011-04-30,LUPIN,
2011-04-30,WOCKPHARMA,
2011-04-30,BHARTIARTL,
2011-04-30,HFCL,
2011-04-30,GRAVITA,
2011-04-30,IRB,
2011-04-30,HINDALCO,
2011-04-30,FORTIS,
2011-04-30,KEI,
2011-04-30,GODREJCP,
2011-04-30,BIOCON,
2011-04-30,TATACOMM,
2011-04-30,JINDALSTEL,
2011-04-30,HEROMOTOCO,
2011-04-30,ADANIPOWER,
2011-04-30,JSWENERGY,
2011-04-30,ADANIENT,
2011-04-30,SJVN,
2011-04-30,GRANULES,
2011-04-30,CONCOR,
2011-04-30,YESBANK,
2011-04-30,DEEPAKFERT,
2011-04-30,GESHIP,
2011-04-30,BEML,
2011-04-30,ICICIBANK,
2011-04-30,TRENT,
2011-04-30,LT,
2011-04-30,MOTHERSON,
2011-04-30,NCC,
2011-04-30,RAMCOCEM,
2011-04-30,APOLLOTYRE,
2011-04-30,PFC,
2011-04-30,KEC,
2011-04-30,UNITDSPR,
2011-04-30,HAVELLS,
2011-04-30,BERGEPAINT,
2011-04-30,RELIANCE,
2011-04-30,UNOMINDA,
