date,symbol,market_cap,bm,profitability,asset_growth
2015-12-31,VEDL,268007976000.00003,,-0.21102552204176334,
2015-12-31,BPCL,1290390722000.0,,0.22524598883077743,
2015-12-31,CONCOR,320001734000.0,,0.14048157509644804,
2015-12-31,CIPLA,521862956250.0,,0.11377522680985003,
2015-12-31,APOLLOHOSP,204019856250.0,,0.10561160151324085,
2015-12-31,MINDACORP,21995089600.0,,0.19686800894854586,
2015-12-31,INOXWIND,79790616900.0,,0.21264367816091953,
2016-01-31,DLF,171814210500.0,,0.01852460813328949,
2016-01-31,GODREJCP,417135898350.0,,0.22639758756668987,
2016-01-31,CONCOR,289256708300.0,,0.14048157509644804,
2016-01-31,IRB,85419922500.0,,0.1243119266055046,
2016-01-31,TCS,4711889259000.0,,0.3961686580428557,
2016-01-31,ICICIBANK,1337693940500.0,,0.15278909155303702,
2016-01-31,ADANIPORTS,439559137500.0,,0.2158848118903855,
2016-01-31,VEDL,212716507500.0,,-0.21102552204176334,
2016-01-31,APOLLOHOSP,204931125000.0,,0.10561160151324085,
2016-01-31,JINDALSTEL,58735681200.0,,-0.06900484744796122,
2016-01-31,OIL,211329360800.0,,0.12129668387516859,
2016-01-31,DIVISLAB,302886855550.0,,0.2437070938215103,
2016-01-31,ITC,2573850852000.0,,0.30813587093521555,
2016-01-31,IDEA,371383323000.0,,0.13866330829026793,
2016-01-31,SIEMENS,363527296000.0,,0.2294313074066836,
2016-01-31,IIFL,65683560600.0,,0.1860828772478499,
2016-01-31,PFC,231139004000.0,,0.1852457498997254,
2016-01-31,HCLTECH,1220577637500.0,,0.3030878467635403,
2016-01-31,ACC,232813187250.0,3.1262463121822447e-08,0.06970668566678542,
2016-01-31,RELIANCE,3354323256000.0005,,0.10819271484080019,
2016-01-31,TECHM,484965612200.0,,0.2170966688438929,
2016-01-31,LICHSGFIN,240169125507.19998,,0.17715736040609137,
2016-01-31,ZEEL,403436602450.0,,0.2752761257434155,
2016-01-31,MCX,43583232640.0,,0.1045643153526971,
2016-01-31,INOXWIND,70325814200.0,,0.21264367816091953,
2016-01-31,DABUR,440928441000.0,,0.3184257602862254,
2016-01-31,FEDERALBNK,79266317000.0,,0.13740259740259742,
2016-01-31,MINDACORP,20972590600.0,,0.19686800894854586,
2016-01-31,CIPLA,469937692500.0,,0.11377522680985003,
2016-01-31,SBIN,1434432650000.0,,0.1104914863558629,
2016-01-31,BPCL,1291619941000.0,,0.22524598883077743,
2016-01-31,SUNPHARMA,2100850199500.0,,0.21358920352601607,
2016-01-31,HDFCBANK,2652015586500.0,,0.16947461760141874,
2016-02-29,IDEA,375527978000.0,,0.13866330829026793,
2016-02-29,DIVISLAB,252341557950.0,,0.2437070938215103,
2016-02-29,MCX,41497398080.0,,0.1045643153526971,
2016-02-29,IIFL,52007372550.0,,0.1860828772478499,
2016-02-29,RELIANCE,3131598006000.0,,0.10819271484080019,
2016-02-29,ZEEL,357623185150.0,,0.2752761257434155,
2016-02-29,SIEMENS,351134320000.0,,0.2294313074066836,
2016-02-29,HCLTECH,1146715030000.0,,0.3030878467635403,
2016-02-29,SUNPHARMA,2055106747000.0,,0.21358920352601607,
2016-02-29,HDFCBANK,2454980566500.0,,0.16947461760141874,
2016-02-29,BPCL,1112443195000.0,,0.22524598883077743,
2016-02-29,APOLLOHOSP,203658131250.0,,0.10561160151324085,
2016-02-29,MINDACORP,21336145800.0,,0.19686800894854586,
2016-02-29,CIPLA,413054742100.0,,0.11377522680985003,
2016-02-29,JINDALSTEL,48854912400.0,,-0.06900484744796122,
2016-02-29,TECHM,401967748250.0,,0.2170966688438929,
2016-02-29,VEDL,209307113999.99997,,-0.21102552204176334,
